order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD000577,REST0774,CUST05532,COUR0839,-37.8207529,144.9668327,2020-09-23,17:12:31,0,0,Car,"[('red wine sangria', 2), ('shotgun chicken', 2), ('sunday brunch', 2)]",40,56.73,529,1,9.51,2.8026
ORD001005,REST1829,CUST04615,COUR2687,-37.8126838,144.9473358,2020-09-06,19:54:43,1,1,Motorbike,"[('momos', 2), ('noodles', 1)]",10,166.13,829,1,8.05,5.4576
ORD001585,REST0978,CUST07113,COUR0945,-37.8242638,145.0144299,2020-12-10,19:58:40,1,0,Bike,"[('butter naan', 3), ('steak', 3)]",10,122.4,5827,29,9.02,7.0563
ORD003314,REST1420,CUST12151,COUR3943,-37.8034682,144.9627353,2020-01-18,11:32:18,0,1,Car,"[('roast beef', 2), ('chicken biryani', 3), ('chicken curry', 3), ('fish fry', 2)]",0,119.73,1472,3,9.26,4.3907
ORD003663,REST2023,CUST03643,COUR0952,-37.8029891,144.967552,2020-10-03,10:29:00,0,1,Motorbike,"[('appam', 3), ('duck roast', 1), ('vegetable stew', 2)]",10,53.41,2982,5,8.39,4.4579
ORD004891,REST0978,CUST00647,COUR0755,-37.8072382,144.9426792,2020-03-24,01:42:51,0,0,Bike,"[('mutton biryani', 2), ('chicken tikka', 3)]",45,71.2,3238,16,7.22,4.2293
ORD005673,REST2023,CUST02818,COUR4269,-37.8152822,145.0029326,2020-02-09,03:33:37,0,1,Motorbike,"[('roast chicken', 3), ('duck roast', 1), ('vegetable stew', 3)]",0,87.33,5715,11,8.39,4.7909
ORD006378,REST1420,CUST02784,COUR2076,-37.8001191,144.9677289,2020-06-06,15:25:42,0,1,Bike,"[('chicken biryani', 2), ('beef fry', 1)]",40,65.86,2133,10,9.26,5.184
ORD006896,REST1829,CUST10937,COUR4885,-37.8063068,144.9644083,2020-07-26,20:38:14,0,1,Car,"[('momos', 2), ('noodles', 3), ('sweet corn soup', 3)]",45,52.45,3787,9,8.05,4.7194
ORD007558,REST2023,CUST13524,COUR4786,-37.8148868,144.9647378,2020-10-02,00:47:28,0,0,Bike,"[('vegetable stew', 2), ('roast chicken', 1), ('duck roast', 2), ('appam', 2)]",0,31.0,1926,9,6.71,3.5563
ORD008249,REST0774,CUST01627,COUR3291,-37.7985085,144.9800857,2020-04-06,01:58:40,0,0,Motorbike,"[('red wine sangria', 3), ('pasta', 3), ('new zealand lamb chops', 1), ('sunday brunch', 1)]",20,42.18,3320,6,9.51,3.0229
ORD008261,REST1420,CUST05119,COUR1427,-37.821859,144.9521992,2020-10-02,08:54:03,0,0,Motorbike,"[('fish fry', 1), ('beef curry', 2), ('chicken biryani', 2), ('chicken curry', 3)]",45,60.6,2533,5,9.26,3.0772
ORD008797,REST1420,CUST01149,COUR1615,-37.8250288,144.9537713,2020-09-02,09:01:58,0,0,Car,"[('roast beef', 1), ('beef curry', 2), ('chicken biryani', 1)]",0,119.94,3107,7,7.41,3.19
ORD009806,REST0774,CUST10778,COUR3669,-37.8113474,144.9515672,2020-05-25,19:30:59,1,0,Bike,"[('sunday brunch', 1), ('pasta', 3), ('red wine sangria', 2), ('cocktails', 2)]",40,75.98,1795,8,7.61,5.0275
ORD010874,REST1420,CUST02552,COUR4481,-37.8039928,145.0016939,2020-10-10,01:58:40,0,1,Motorbike,"[('beef curry', 2), ('roast beef', 3)]",20,58.22,5122,10,7.41,4.8553
ORD012247,REST1420,CUST02686,COUR2449,-37.7996445,144.9700446,2020-04-04,16:56:42,0,1,Bike,"[('masala dosa', 1), ('roast beef', 1)]",0,83.04,2406,12,9.26,4.6289
ORD012572,REST0774,CUST13442,COUR1449,-37.8118378,144.9733504,2020-01-02,00:31:38,0,0,Motorbike,"[('red wine sangria', 2), ('shotgun chicken', 3), ('beer', 3), ('pasta', 1)]",40,34.08,1569,3,9.51,3.0238
ORD013164,REST2023,CUST05604,COUR2823,-37.8142938,144.9389889,2020-04-14,20:34:17,0,0,Bike,"[('duck roast', 2), ('roast chicken', 1), ('vegetable stew', 1)]",0,67.23,1007,5,6.71,3.2851
ORD013327,REST1420,CUST12548,COUR3143,-37.8188014,144.9531468,2020-01-19,05:52:05,0,1,Bike,"[('roast beef', 3), ('masala dosa', 3)]",0,133.24,2135,10,9.26,4.3342
ORD014597,REST0774,CUST04514,COUR0094,-37.8204111,144.9533742,2020-05-04,01:11:12,0,0,Bike,"[('shotgun chicken', 1), ('beer', 3), ('sunday brunch', 2), ('pasta', 2)]",0,40.62,1170,5,9.51,3.1813
ORD014983,REST1420,CUST03610,COUR3671,-37.8250579,144.949316,2020-04-14,07:27:01,0,0,Motorbike,"[('chicken biryani', 2), ('masala dosa', 1), ('fish fry', 3), ('roast beef', 1)]",20,108.56,3365,6,7.41,3.2239
ORD015918,REST1829,CUST12810,COUR2513,-37.8014555,144.9689442,2020-06-16,17:12:31,0,0,Bike,"[('egg fried rice', 3), ('chowmein', 3)]",45,20.48,4637,23,6.44,4.864
ORD019315,REST0978,CUST01405,COUR2309,-37.7994363,144.9591555,2020-06-15,22:17:08,0,0,Motorbike,"[('mutton biryani', 2), ('butter naan', 3), ('steak', 3), ('sweet corn soup', 1)]",10,78.65,1132,2,7.22,2.6932
ORD022339,REST2023,CUST04613,COUR4277,-37.8129573,144.9475153,2020-03-24,19:23:04,1,0,Bike,"[('appam', 3), ('vegetable stew', 2)]",45,46.35,1962,9,8.39,5.4498
ORD022638,REST2023,CUST09890,COUR0795,-37.8059161,144.9835677,2020-08-23,14:46:09,0,1,Motorbike,"[('duck roast', 2), ('vegetable stew', 3), ('appam', 1), ('roast chicken', 1)]",10,84.85,4005,8,6.71,4.64
ORD022962,REST0978,CUST11108,COUR1389,-37.8086605,144.9482704,2020-10-15,04:17:08,0,0,Bike,"[('mutton biryani', 2), ('sweet corn soup', 3), ('beef chilli', 2), ('kulfi', 2)]",0,122.37,2713,13,9.02,4.1528
ORD023548,REST2023,CUST08320,COUR2988,-37.8131917,144.9513467,2020-02-23,06:07:54,0,1,Motorbike,"[('appam', 2), ('roast chicken', 2), ('duck roast', 3), ('vegetable stew', 3)]",0,25.46,809,1,6.71,3.9221
ORD024319,REST0978,CUST09500,COUR0705,-37.802009,144.98377,2020-12-28,16:48:47,0,0,Car,"[('chicken tikka', 3), ('mudpie', 3), ('sweet corn soup', 3), ('butter naan', 1)]",0,154.78,1344,3,9.02,3.0915
ORD024748,REST0978,CUST03270,COUR2762,-37.8078182,144.9437606,2020-09-10,20:46:09,0,0,Motorbike,"[('kulfi', 2), ('mudpie', 2), ('steak', 2), ('chicken tikka', 3)]",0,84.25,3116,6,9.02,3.5233
ORD024883,REST0978,CUST13726,COUR3427,-37.8211349,144.9577267,2020-01-15,06:07:54,0,0,Motorbike,"[('sweet corn soup', 2), ('kulfi', 2), ('mutton biryani', 1), ('chicken tikka', 2)]",0,57.89,3233,6,9.02,3.3926
