order_id,restaurant_id,customer_id,carrier_id,customer_lat,customer_lon,date,time,is_peak_time,is_weekend,carrier_vehicle,shopping_cart,coupon_discount,order_price,shortest_distance_to_customer,travel_time_minutes,restaurant_rating,delivery_charges
ORD163878,REST0774,CUST07128,COUR3727,-37.8022925,144.94239950000005,2020-08-06,01:54:43,0,0,Bike,"[('red wine sangria', 1), ('sunday brunch', 3), ('shotgun chicken', 2), ('beer', 3)]",10,107.235,3158,16,9.51,3.9388
ORD270434,REST1420,CUST10210,COUR2071,-37.8147265,144.9457999,2020-10-25,13:19:07,1,1,Motorbike,"[('masala dosa', 3), ('roast beef', 3)]",0,99.39,1847,4,9.26,5.3648
ORD178283,REST2023,CUST04426,COUR0047,-37.8249835,144.94451999999995,2020-02-12,07:03:17,0,0,Car,"[('appam', 2), ('duck roast', 2), ('vegetable stew', 2), ('roast chicken', 3)]",0,138.47,1142,3,8.39,3.1242
ORD155302,REST1420,CUST12843,COUR1056,-37.7997371,144.9348231,2020-06-17,20:06:35,0,0,Car,"[('beef curry', 3), ('chicken curry', 2), ('chicken biryani', 3)]",0,72.83,5284,13,9.26,4.1702
ORD071828,REST0774,CUST05493,COUR3809,-37.8160682,144.9633109,2020-01-24,02:02:38,0,0,Motorbike,"[('pasta', 1), ('new zealand lamb chops', 2), ('shotgun chicken', 3)]",40,54.498000000000005,646,1,9.51,2.7926
ORD303634,REST0978,CUST05894,COUR2088,-37.8002721,144.955118,2020-06-15,08:46:09,0,0,Car,"[('butter naan', 2), ('mutton biryani', 2), ('chicken tikka', 1), ('steak', 2)]",0,114.32,1532,4,9.02,3.293
ORD077382,REST0978,CUST01019,COUR2559,-37.8029182,144.9281234,2020-11-13,09:29:40,0,0,Bike,"[('sweet corn soup', 3), ('mutton biryani', 2), ('steak', 2), ('kulfi', 2)]",0,131.88,4086,20,9.02,4.9462
ORD129320,REST0978,CUST03953,COUR1257,-37.8011208,145.00529640000005,2020-10-12,05:40:13,0,0,Bike,"[('beef chilli', 3), ('chicken tikka', 1), ('sweet corn soup', 3), ('mudpie', 3)]",0,175.82,3462,17,9.02,4.0436
ORD339138,REST0774,CUST00639,COUR4378,-37.8039424,145.0015395,2020-01-10,11:40:13,0,0,Car,"[('new zealand lamb chops', 1), ('sunday brunch', 3), ('cocktails', 3), ('beer', 3)]",0,143.25,4447,11,9.51,3.817
ORD232300,REST1420,CUST13939,COUR1135,-37.8095148,144.9645449,2020-12-18,03:21:45,0,0,Bike,"[('chicken biryani', 2), ('beef fry', 1), ('chicken curry', 2), ('roast beef', 1)]",20,56.424,1849,9,9.26,3.5756
ORD108158,REST1420,CUST13308,COUR4695,-37.8330514,144.9908231,2020-09-20,11:36:15,0,1,Bike,"[('beef fry', 3), ('masala dosa', 2), ('chicken biryani', 3), ('chicken curry', 1)]",45,80.92699999999999,5591,28,9.26,6.3552
ORD312181,REST0978,CUST06273,COUR4779,-37.807285,144.95704469999995,2020-03-29,00:35:36,0,1,Car,"[('mudpie', 3), ('sweet corn soup', 2), ('kulfi', 3), ('mutton biryani', 1)]",0,141.85,2066,5,9.02,4.1636
ORD115292,REST0774,CUST08193,COUR2369,-37.8162179,145.0073956,2020-10-19,12:55:23,1,0,Car,"[('new zealand lamb chops', 1), ('red wine sangria', 1), ('shotgun chicken', 3)]",0,78.56,4269,10,9.51,4.9871
ORD034687,REST0978,CUST02812,COUR3653,-37.8104145,144.995982,2020-12-06,02:42:11,0,1,Motorbike,"[('chicken tikka', 1), ('mutton biryani', 1), ('kulfi', 3)]",0,92.41,3074,6,9.02,4.5491
ORD263053,REST1829,CUST02912,COUR0104,-37.8005538,144.9911639,2020-04-24,23:56:02,0,0,Bike,"[('sweet corn soup', 2), ('egg fried rice', 2)]",0,75.96,6491,32,8.05,5.882999999999999
ORD240757,REST0978,CUST13547,COUR4417,-37.8062807,144.9735035,2020-10-04,19:46:48,1,1,Bike,"[('beef chilli', 2), ('mutton biryani', 2), ('chicken tikka', 1), ('butter naan', 3)]",0,154.98,864,4,9.02,5.3741
ORD168664,REST0978,CUST08755,COUR3348,-37.8129073,145.0130137,2020-05-18,09:37:34,0,0,Car,"[('mudpie', 2), ('steak', 3)]",45,38.99,4681,11,9.02,3.5921
ORD093237,REST1420,CUST05668,COUR3961,-37.8123062,144.9375217,2020-11-12,16:25:03,0,0,Car,"[('roast beef', 3), ('beef fry', 2)]",45,46.409,2376,6,9.26,3.3694
ORD061766,REST0978,CUST01120,COUR1492,-37.8052463,145.0043931,2020-01-03,10:29:00,0,0,Bike,"[('steak', 2), ('mudpie', 2), ('sweet corn soup', 3), ('chicken tikka', 1)]",0,118.02,3920,20,9.02,4.6405
ORD001789,REST1829,CUST08107,COUR4583,-37.81732570000001,145.0080576,2020-12-21,17:12:31,0,0,Bike,"[('manchurian', 2), ('sweet corn soup', 2), ('noodles', 2)]",0,80.54,6957,35,8.05,6.4218
ORD071505,REST0978,CUST09439,COUR0765,-37.8037936,144.9641351,2020-04-15,17:24:23,0,0,Car,"[('butter naan', 2), ('steak', 1), ('mutton biryani', 3)]",40,54.756,923,2,9.02,2.8844
ORD075508,REST0774,CUST11820,COUR1293,-37.8198647,144.9525642,2020-05-16,05:44:10,0,1,Motorbike,"[('shotgun chicken', 2), ('sunday brunch', 2)]",45,34.43,1265,3,9.51,3.7361
ORD169685,REST2023,CUST13724,COUR4645,-37.8134398,144.9740272,2020-07-27,17:32:18,0,0,Motorbike,"[('vegetable stew', 3), ('appam', 1), ('duck roast', 2)]",10,48.456,2850,6,8.39,3.5373
